,channel_Name,subscribers,views,Total_videos,playlist_id
0,sqlbelle,22100,1325314,59,UUW2E1sGBVde5WMMxEh5CW4w
1,365 Data Science,261000,10930171,210,UUEBpSZhI1X8WaP-kY_2LLcg
2,techTFQ,116000,5450090,73,UUnz-ZXXER4jOvuED5trXfEA
3,sentdex,1160000,104879149,1258,UUfzlCWGWYyIQ0aLC5w48gBQ
4,Applied AI Course,81300,13542871,512,UUJINtWke3-FMz2WuEltWDVQ
5,Jeremy Howard,65800,6506569,159,UUX7Y2qWriXpqocG97SFW2OQ
6,Data Talks,14500,1071083,209,UUQTQ0AbOupKNxKKY-_x46OQ
7,Unfold Data Science,39800,2668429,484,UUh8IuVJvRdporrHi-I9H7Vw
8,Luke Barousse,245000,11062229,79,UULLw7jmFsvfIVaUFsLs8mlQ
9,Akshit Madan,7750,511702,313,UUBlphb6_k7X1P28OCYXMsWg
10,CodeEmporium,71400,3874427,135,UU5_6ZD6s8klmMu9TXEB_1IA
11,CampusX,42400,3365233,906,UUCWi3hpnq_Pe03nGxuS7isg
12,Data Professor,135000,3520241,294,UUV8e2g4IWQqK71bbzGDEI4Q
13,Nicholas Renotte,100000,5617553,257,UUHXa4OpASJEwrHrLeIzw7Yg
14,Jovian,33000,1151191,64,UUmKaoNn0OvxVAe7f_8sXYNQ
15,deeplizard,125000,10147297,325,UU4UJ26WkceqONNF5S26OiVw
16,Bhavesh Bhatt,39900,3108819,308,UU8ofcOdHNINiPrBA9D59Vaw
17,Chandoo,300000,21827762,385,UU8uU_wruBMHeeRma49dtZKA
18,Priyang Bhatt,4280,296810,164,UUmbUF1jKRoZ-NdOLJX3wBgw
19,E-Learning Bridge,110000,5860383,232,UUBGcs9XTL5U34oaSn_AsHqw
20,Alex The Analyst,289000,11461256,166,UU7cs8q-gJRlGwj4A8OmCmXg
21,Tina Huang,399000,15821169,108,UU2UXDak6o7rBm23k3Vv5dww
22,Satyajit Pattnaik,26100,830740,334,UU-HLXw5cFC-7zqaXqTIlj-g
23,StrataScratch,36600,1142026,100,UUW8Ews7tdKKkBT6GdtQaXvQ
24,Corey Schafer,994000,77920387,230,UUCezIgC97PvUuR4_gbFUs5g
25,Krish Naik,660000,62306196,1501,UUNU_lfiiWBdtULKOw6X0Dig
26,Abhishek Thakur,75500,2014115,148,UUBPRJjIWfyNG4X-CRbnv78A
27,Thu Vu data analytics,54200,1371021,46,UUJQJAI7IjbLcpsjWdSzYz0Q
28,codebasics,667000,44306862,563,UUh9nVJoWXmFb7sLApWGcLPQ
29,Daniel Bourke,130000,6216089,294,UUr8O8l5cCX85Oem1d18EezQ
30,StatQuest with Josh Starmer,803000,41232050,221,UUtYLUTtgS3k1Fg4y5tAhLbw
31,Data School,204000,10360242,139,UUnVzApLJE2ljPZSeQylSEyg
32,DataInterview,14600,441175,39,UUQSMCVUX1HgrwxJhO_7VrJQ
33,Shashank Kalanithi,105000,4575704,147,UUvZnwzmc3m1Eush-Or8Z6DA
34,Siraj Raval,718000,45808888,438,UUWN3xxRkmTPmbKwht9FuE5A
35,Ken Jee,219000,6962759,240,UUiT9RITQ9PW6BhXK0y2jaeg
